NUMERO_ISCRIZIONE_D;NUMERO_ISCRIZIONE_A;DATA_CONFERIMENTO;CODICE_COMPAGNIA;RAGIONE_SOCIALE
D000027040;A000651223;2007-02-28 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000026924;A000103589;2007-03-01 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000552871;A000006677;2016-07-21 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000079986;A000061689;2007-03-01 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000553205;A000048346;2016-08-09 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000553205;A000009792;2016-08-09 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000027111;A000498394;2007-02-28 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000051233;A000645039;2007-03-15 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000027120;A000558332;2021-11-10 00:00:00;D908R;COMPAGNIE FRANÇAISE D'ASSURANCE POUR LE COMMERCE EXTÉRIEUR S.A. (COFACE)
D000027120;A000558332;2021-11-10 00:00:00;A058S;COMPAGNIA ITALIANA DI PREVIDENZA, ASSICURAZIONI E RIASSICURAZIONI S.P.A.
D000027105;A000677163;2025-01-21 11:36:43;A417S;ARCA ASSICURAZIONI S.P.A.
D000026958;A000645889;2025-01-23 09:17:16;A417S;ARCA ASSICURAZIONI S.P.A.
D000027120;A000558336;2021-11-10 00:00:00;D911R;METLIFE EUROPE DESIGNATED ACTIVITY COMPANY
D000027120;A000558332;2021-11-10 00:00:00;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
D000053849;A000713425;2026-04-09 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000074714;A000425929;2026-06-03 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000026924;A000006282;2007-03-01 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000027120;A000558332;2021-11-10 00:00:00;A037S;AXA ASSICURAZIONI S.P.A.
D000027105;A000606496;2025-01-14 11:12:02;A417S;ARCA ASSICURAZIONI S.P.A.
D000027105;A000809432;2026-04-22 00:00:00;A417S;ARCA ASSICURAZIONI S.P.A.
D000026958;A000611117;2025-01-21 11:36:43;A417S;ARCA ASSICURAZIONI S.P.A.
D000027120;A000558336;2021-11-10 00:00:00;A400S;NOBIS COMPAGNIA DI ASSICURAZIONI S.P.A.
D000553205;A000129841;2016-07-08 00:00:00;A418S;BCC ASSICURAZIONI S.P.A.
D000027120;A000558332;2021-11-10 00:00:00;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
D000079527;A000123005;2007-03-15 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000553205;A000129841;2016-08-09 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000070992;A000390994;2007-05-15 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000027120;A000558336;2021-11-10 00:00:00;A037S;AXA ASSICURAZIONI S.P.A.
D000027105;A000540884;2025-01-14 11:12:03;A417S;ARCA ASSICURAZIONI S.P.A.
D000027105;A000135503;2026-04-22 00:00:00;A417S;ARCA ASSICURAZIONI S.P.A.
D000027105;A000742678;2026-04-22 00:00:00;A417S;ARCA ASSICURAZIONI S.P.A.
D000027105;A000811601;2026-04-22 00:00:00;A417S;ARCA ASSICURAZIONI S.P.A.
D000026958;A000540822;2025-01-14 11:12:03;A417S;ARCA ASSICURAZIONI S.P.A.
D000027120;A000558332;2021-11-10 00:00:00;D947R;AIG EUROPE S.A.
D000027072;A000134472;2009-09-08 00:00:00;A418S;BCC ASSICURAZIONI S.P.A.
D000026943;A000142631;2010-06-28 00:00:00;A418S;BCC ASSICURAZIONI S.P.A.
D000027120;A000558336;2021-11-10 00:00:00;D957R;CHUBB EUROPEAN GROUP SE
D000027040;A000398437;2007-02-28 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000026924;A000091373;2007-03-01 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000079678;A000080583;2007-03-01 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000079678;A000544508;2018-02-06 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000079678;A000080583;2018-02-06 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000066202;A000158092;2007-02-28 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000078983;A000078988;2007-06-25 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000027111;A000775504;2007-02-28 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000026943;A000142631;2025-07-10 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000233765;A000192401;2010-04-06 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000027034;A000675254;2025-01-21 11:36:43;A417S;ARCA ASSICURAZIONI S.P.A.
D000027105;A000610656;2025-01-21 11:36:43;A417S;ARCA ASSICURAZIONI S.P.A.
D000027105;A000540912;2025-01-14 11:12:02;A417S;ARCA ASSICURAZIONI S.P.A.
D000027105;A000590695;2025-01-14 11:12:02;A417S;ARCA ASSICURAZIONI S.P.A.
D000027105;A000741722;2026-04-22 00:00:00;A417S;ARCA ASSICURAZIONI S.P.A.
D000027105;A000741246;2026-04-22 00:00:00;A417S;ARCA ASSICURAZIONI S.P.A.
D000027105;A000741457;2026-04-22 00:00:00;A417S;ARCA ASSICURAZIONI S.P.A.
D000027105;A000810156;2026-04-22 00:00:00;A417S;ARCA ASSICURAZIONI S.P.A.
D000026958;A000609991;2025-01-14 11:12:03;A417S;ARCA ASSICURAZIONI S.P.A.
D000080291;A000741598;2025-01-21 11:36:43;A417S;ARCA ASSICURAZIONI S.P.A.
D000080291;A000815330;2026-04-14 00:00:00;A417S;ARCA ASSICURAZIONI S.P.A.
D000027120;A000558336;2021-11-10 00:00:00;D947R;AIG EUROPE S.A.
D000027120;A000558332;2021-11-10 00:00:00;A095S;GROUPAMA ASSICURAZIONI SOCIETA' PER AZIONI
D000027120;A000558336;2021-11-10 00:00:00;D866R;ZURICH INSURANCE EUROPE AG
D000552871;A000006677;2016-08-04 00:00:00;A418S;BCC ASSICURAZIONI S.P.A.
D000553205;A000048346;2016-07-08 00:00:00;A418S;BCC ASSICURAZIONI S.P.A.
D000027120;A000558336;2021-11-10 00:00:00;A450S;HELVETIA VITA COMPAGNIA ITALO-SVIZZERA DI ASSICURAZIONI SULLA VITA S.P.A.
D000027120;A000558332;2021-11-10 00:00:00;D957R;CHUBB EUROPEAN GROUP SE
D000051125;A000745965;2007-02-28 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
D000027059;A000614260;2007-02-28 00:00:00;A254S;ASSIMOCO S.P.A. COMPAGNIA DI ASSICURAZIONI E RIASSICURAZIONI - MOVIMENTO COOPERATIVO
