NUMERO_ISCRIZIONE_D;RAGIONE_SOCIALE;COGNOME_NOME_RESPONSABILE
D000734839;ADMIRAL FINANCIAL SERVICES ITALIA S.P.A.;CASTELLI ALESSANDRO
D000734839;ADMIRAL FINANCIAL SERVICES ITALIA S.P.A.;SIBELLA FABRIZIO GIUSEPPE
D000697014;ADV FINANCE SPA;PAGLIA ANGELO
D000200619;AGOS DUCATO SPA;FOI FILIPPO
D000331421;ALBA LEASING SPA;ABELLI ANGELO
D000073869;ALLIANZ BANK FINANCIAL ADVISORS SPA;RUTA MARIO
D000629284;AVVERA;ARDUINI MASSIMO
D000026940;B.C.C. DI CHERASCO SOC. COOP.;CABUTTO ALESSANDRO
D000027099;B.C.C. DI PIANFEI E ROCCA DE' BALDI;MAZZUCCHI ELENA
D000064865;B.C.C. DI SAN MARZANO DI SAN GIUSEPPE-TARANTO;LOPRETE CATALDO
D000056673;BANCA 360 CREDITO COOPERATIVO FVG - SOC. COOP.;TREVISIOL ANDREA
D000286954;BANCA ADRIA COLLI EUGANEI CREDITO COOPERATIVO;ZANGIROLAMI PAOLO
D000026988;BANCA AGRICOLA POPOLARE DI SICILIA S.C.P.A.;Giommarresi Maurizio
D000027139;BANCA ALETTI SPA;VARALDO ALESSANDRO
D000109374;BANCA ALPI MARITTIME CREDITO COOPERATIVO CARRÙ SCPA;DEDOMINICI AMEDEO
D000027001;BANCA ALTA TOSCANA CREDITO COOPERATIVO - SC;MARCONI SAMUELE
D000269888;BANCA CAMBIANO 1884 S.P.A.;MARCACCI FRANCESCO
D000027034;BANCA CASSA DI RISPARMIO DI SAVIGLIANO SPA;RASPO ALBERTO
D000113935;BANCA CENTRO CALABRIA - CREDITO COOPERATIVO - SOCIETA' COOPERATIVA;VALASTRO GIANLUCA
D000553205;BANCA CENTRO CREDITO COOPERATIVO TOSCANA - UMBRIA;CANTELLI LORENZO
D000027033;BANCA CENTRO EMILIA - CREDITO COOPERATIVO;CASELLI UGO
D000027033;BANCA CENTRO EMILIA - CREDITO COOPERATIVO;QUESITONIO GIANLUCA
D000122878;BANCA CENTRO LAZIO CREDITO COOPERATIVO SOCIETA' COOPERATIVA;URBINATI LUIGI
D000080020;BANCA CENTROPADANA CREDITO COOPERATIVO;TUFANO NATALE
D000365410;BANCA CESARE PONTI SPA;RUZZIER EMANUELE
D000365410;BANCA CESARE PONTI SPA;SPOTTI SARA
