NUMERO_ISCRIZIONE;WEB_URL
A000000030;www.agenziazurich.it/va505
A000000117;https://agenzie.italiana.it/agenzie/agenziaclusone
A000000156;https://www.agenzievittoria.com/castelsanpietroterme/
A000000156;www.latuavittoria.it
A000000175;www.danielabrigandi.it
A000000193;www.assicurazionimaida.it
A000000337;www.marandoassicurazioni.it
A000000459;www.cortiassicura.it
A000000690;www.rasobarrecaassicurazioni.it
A000000690;www.rasobarrecassicurazioni.it
A000000737;www.facebook.com/AssiDiGi/
A000000737;www.instagram.com/saraassicurazioniqualiano/
A000000737;www.sara.it/agenzia?id=A217
A000000847;www.agenzie.generali.it/casalecchiodireno
A000000866;www.agenzievittoria.com/arezzo
A000000870;https://www.ageallianz.it/piedimontematese6311/
A000000875;www.francescotrupiano.it
A000000942;https://www.effeemmeassicurazioni.it/
A000000943;https://www.assistudioperboni.it/
A000000949;www.ageallianz.it/saronno124
A000001019;https://agenzie.realemutua.it/agenzia322/Pages/R_Overview.aspx
A000001166;https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.arag.it%2Fportal%2Ftutela-legale-ols-famiglia%2F-%2Fols%2F341e07cd-24b8-4a41-bc60-14b6237ba273&data=05%7C02%7Cbackoffice.commerciale%40arag.it%7C982079ae46d3403035e608de0031fcad%7C8ffb3be783a7463fa543aedb2683b1ae%7C0%7C0%7C638948411869372937%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=adPu%2FbNFsQwztlzGHQtc92V7ZUFDpbCoZiCfYSU1dKM%3D&reserved=0
